Id,Income
1500000US360039507003,33056
1500000US360039508001,56250
1500000US360039508002,40833
1500000US360039508003,31563
1500000US360039509001,48750
1500000US360039509002,46313
1500000US360039509003,39607
1500000US360039509004,40208
1500000US360039510001,25909
1500000US360039510002,41650
1500000US360039510003,39712
1500000US360039511001,29886
1500000US360039511002,53068
1500000US360039511003,37841
1500000US360039511004,48688
1500000US360039512001,44688
1500000US360039512002,42500
1500000US360039512003,43098
1500000US360039512004,32500
1500000US360039512005,43214
1500000US360039512006,39792
1500000US360039513001,47750
1500000US360039513002,35391
1500000US360039513003,48015
1500000US360039513004,45406
1500000US360050001000,-
1500000US360050001001,-
1500000US360050002000,-
1500000US360050002001,61779
1500000US360050002002,70603
1500000US360050002003,80972
1500000US360050004000,-
1500000US360050004001,50368
1500000US360050004002,46250
1500000US360050004003,100260
1500000US360050004004,65125
1500000US360050016001,29536
